id,task_type,steps,tool_rounds,tool_calls,unique_tools,skill_calls,parallel_rounds,max_parallel_calls,explicit_error_observations,tokens,trainable_tokens
react_pf_1b1543313c3ba8a7,PF,3,2,10,6,5,2,5,0,49148,4042
react_pf_dd6e595d8ad55e3e,PF,4,3,8,5,3,3,3,0,48408,5509
react_pf_117c12a2edd5f298,PF,7,6,14,8,5,2,5,0,51284,5753
react_pf_695cc50b4dfdda8f,PF,5,4,10,6,5,2,4,5,49677,4072
react_pf_99463ffafd02659c,PF,8,7,16,9,6,3,6,0,55430,8416
react_pf_a1c229b038213905,PF,3,2,10,6,5,2,5,5,50723,4215
react_pf_dca0b89d12548369,PF,3,2,10,6,5,2,5,0,47694,2951
react_pf_bd04d6e83e91f964,PF,3,2,6,4,3,2,3,0,45856,3271
react_pf_506eefef522fee67,PF,5,4,10,6,5,2,4,0,49891,3409
react_pf_b9ba029f73e49edb,PF,5,4,10,6,5,2,4,0,50401,4791
react_pf_f9d3c4aca271ff8b,PF,3,2,8,5,4,2,4,0,49888,4064
react_pf_c5d1d61b5c4d4dad,PF,3,2,6,4,3,2,3,0,46405,3163
react_pf_d661296865890ab0,PF,7,6,13,7,6,3,4,1,53492,5198
react_pf_c4e98453533f538e,PF,19,18,33,10,8,5,6,14,65546,7648
react_pf_92ed1d28fc4be7a0,PF,7,6,12,6,5,4,3,2,52755,6778
react_pf_cd2c203a4f3efc2a,PF,3,2,10,6,5,2,5,0,50704,4117
react_pf_4cd50cb66f50f0f0,PF,3,2,8,5,4,2,4,0,46808,2708
react_pf_3cda987fac423b72,PF,3,2,10,6,5,2,5,0,49405,3884
react_pf_ff54b89e35917209,PF,3,2,8,5,4,2,4,0,47804,3409
react_pf_956c215e6afc32dd,PF,3,2,10,6,5,2,5,0,49885,3729
react_pf_62b49fbf4735f886,PF,5,4,12,7,5,2,5,0,53692,7813
react_pf_dff47bfaae552cba,PF,3,2,10,6,5,2,5,0,50134,3737
react_pf_2abd4c94018a06d4,PF,3,2,10,6,5,2,5,0,52825,5340
react_pf_303eea476077228e,PF,3,2,6,4,3,2,3,0,44508,2220
react_pf_16d305d7a0bfa5ac,PF,5,4,10,6,5,4,3,0,51337,5296
react_pf_53f0911dfec9cb01,PF,7,6,10,6,5,2,3,0,49700,4343
react_pf_b12bc23dbbf76e3e,PF,3,2,10,6,5,2,5,0,50476,3795
react_pf_40c428e5bec8d775,PF,5,4,10,6,5,4,3,0,48823,3579
react_pf_7cec90f84a54ca71,PF,3,2,10,6,5,2,5,0,48711,3482
react_pf_73257ef9190eea24,PF,4,3,11,6,5,2,5,1,50815,4811
react_pf_f81e4f785452096b,PF,3,2,8,5,4,2,4,0,47776,3636
react_pf_d55a99c03e28e9fb,PF,4,3,10,6,4,3,4,0,50046,6137
react_pf_67e7ff49eb9d65c2,PF,6,5,12,7,5,3,4,0,50920,5834
react_pf_be55c8ebe7e7acdf,PF,3,2,10,6,5,2,5,0,48096,3214
react_pf_00a15dd52472356f,PF,4,3,13,7,6,2,6,1,54066,5196
react_pf_cff5e8a36d089b42,PF,4,3,12,7,5,3,5,0,53743,6561
react_pf_9e530607a8075334,PF,3,2,10,6,5,2,5,0,50974,4359
react_pf_6652009a944c604e,PF,3,2,10,6,5,2,5,0,49843,3543
react_pf_9e828055641663ca,PF,3,2,10,6,5,2,5,0,47956,3139
react_pf_7799566d9eaec874,PF,7,6,10,6,5,2,3,0,51338,5294
react_pf_150fdec1c2a493de,PF,6,5,15,6,5,3,5,5,53840,6414
react_pf_adc1454032aaa907,PF,11,10,16,9,5,2,4,0,53756,7757
react_pf_6314a17c20ccb875,PF,5,4,10,6,5,2,4,0,48949,3962
react_pf_0d09e476ca8a4355,PF,3,2,10,6,5,2,5,0,52103,4710
react_pf_3cc9d543f40b7fd1,PF,5,4,10,6,5,2,4,5,49793,4630
react_pf_b5de9c279065e7a2,PF,8,7,15,10,5,2,5,1,53481,6428
react_pf_606bd3988c93c9c7,PF,3,2,6,4,3,2,3,0,46625,3454
react_pf_4312fb4eb3e149ce,PF,12,11,20,10,6,3,5,3,57999,9251
react_pf_9f6a2a7935e2837f,PF,9,8,13,7,5,3,3,1,54989,7108
react_pf_4c2f3f5db800740e,PF,11,10,10,7,4,0,1,1,49150,3914
react_pf_f2457feaad344bea,PF,3,2,8,5,4,2,4,0,47059,2900
react_pf_336f539e8e3b6efd,PF,5,4,12,7,6,4,4,0,50946,4790
react_pf_aa89bdbccef9ccd2,PF,3,2,8,5,4,2,4,4,49018,4466
react_pf_20bd9f38ec8391be,PF,5,4,10,6,5,2,4,0,48382,3483
react_pf_da3b5d1ee87f4758,PF,3,2,8,5,4,2,4,0,45949,2949
react_pf_51bf648ff858141e,PF,3,2,10,6,5,2,5,0,50786,5051
react_vs_1cc0d290a9ae95e5,VS,32,31,92,15,11,11,10,9,113021,41219
react_vs_543c411a77e914e2,VS,29,28,93,16,12,11,12,8,116350,42827
react_ac_26ccf5d5b426c729,AC,9,8,11,6,3,3,2,0,47930,6316
react_ac_22df5ae484dff5ac,AC,8,7,11,6,3,4,2,0,48132,6021
react_ac_81e8753c0fc9c9cb,AC,11,10,13,8,4,3,2,0,46773,4185
react_ac_6fca7b3d60065e83,AC,15,14,20,10,7,6,2,1,55814,6479
react_ac_893c7346936d7c85,AC,17,16,19,8,5,3,2,0,48231,5604
react_ac_0cd68d55cb6d2fdc,AC,25,24,28,13,7,4,2,1,59568,8368
react_ac_2cb7879a9494cf3e,AC,18,17,23,11,8,5,3,0,57930,7299
react_ac_5b69de14df327704,AC,13,12,14,7,3,2,2,1,47975,5766
react_ac_41f9aa4194bc4734,AC,8,7,10,6,3,3,2,0,46382,4834
react_ac_0d6d3a1e02b06c8d,AC,13,12,14,7,3,2,2,1,47708,5820
react_ac_2be33a294ea49c4a,AC,16,15,17,9,6,2,2,3,48182,4195
react_ac_eb12b21f08cb2ffc,AC,15,14,15,8,4,1,2,0,50381,5846
react_ac_cb718c2d02d981d6,AC,9,8,9,5,3,1,2,0,45803,4325
react_ac_4977213cbeaefc15,AC,13,12,14,8,3,2,2,1,48515,5395
react_ac_daf1644b5400544b,AC,5,4,6,4,1,2,2,0,44562,3927
react_ac_0eb7fedc18d0ae0f,AC,22,21,25,11,7,3,3,3,56711,7195
react_ac_9257528069eb7658,AC,27,26,30,14,7,3,3,5,61767,10943
react_ac_0e8376d75d2ced77,AC,11,10,13,7,5,3,2,0,47156,4587
react_ac_263f02b61bfbe26c,AC,13,12,17,9,6,5,2,0,50204,5930
react_ac_4ad21266dccf7c3d,AC,23,22,27,12,8,4,3,2,57555,8526
react_ac_be85683e5f6bd1eb,AC,13,12,17,10,5,5,2,1,49700,4536
react_ac_4f734361b893e694,AC,10,9,12,7,3,3,2,0,49738,6481
react_ac_d3f53d5287cc343e,AC,12,11,14,7,3,3,2,0,48800,5901
react_ac_31f0cad2dbc4e9d8,AC,8,7,11,6,4,4,2,0,46755,4554
react_ac_74a2d0a2a2ff8e81,AC,20,19,29,15,10,8,3,0,60430,9022
react_ac_d33151d00281e360,AC,17,16,28,13,11,7,4,2,58438,8575
react_ac_6beb36ecd3829f75,AC,17,16,23,12,7,6,3,2,55554,7229
react_ac_50dc922182913e4f,AC,26,25,29,13,9,2,3,6,58300,9864
react_ac_39a1ce3fd3038a0f,AC,18,17,22,11,6,5,2,4,54145,7123
react_ac_9ef6314d912153ec,AC,20,19,26,12,9,5,3,2,55218,7795
react_ac_b4ea59871c061ba4,AC,16,15,20,10,6,5,2,2,53771,7011
react_ac_4caebcbf7d6ee261,AC,24,23,26,12,8,3,2,5,59993,8023
react_ac_532954617cb7150a,AC,18,17,19,10,5,2,2,2,53129,5762
react_ac_512a0ab74588379e,AC,40,39,52,19,14,11,3,19,67306,11084
react_ac_6a53d458cae25580,AC,24,23,29,15,9,6,2,5,62550,9024
react_ac_997a3c894cee6176,AC,26,25,36,15,11,7,3,5,60849,9659
react_ac_9e24e00b4d9b4735,AC,24,23,33,16,10,8,3,5,59815,10339
react_ac_393bc57ebe7a9fe4,AC,21,20,32,16,12,8,3,3,57731,8226
react_ac_c85092bccbbc0530,AC,35,34,37,14,9,3,2,11,58675,6590
react_ac_31d835487485591e,AC,20,19,22,12,7,3,2,2,55734,5903
react_ac_59fb9e1aa9a0ca7f,AC,35,34,41,18,12,7,2,10,64797,9971
react_ac_25ae9ed450d87ac1,AC,24,23,28,14,9,5,2,5,56256,6216
react_ac_656255bc09876155,AC,27,26,32,13,7,5,3,6,59808,8029
react_ac_519e55f026dc48f0,AC,27,26,32,15,11,6,2,5,61132,9197
react_ac_15f42a0e57352bd6,AC,15,14,20,11,8,6,2,4,48552,3839
react_ac_8926ef71239a10cc,AC,19,18,27,11,7,8,3,2,57349,8591
react_ac_d11b14f514e93955,AC,42,41,54,19,14,11,3,13,74059,16032
react_ac_b83cbe56f9023b7a,AC,20,19,26,13,8,7,2,2,56254,7427
react_ac_1336bf118156494d,AC,23,22,23,11,8,1,2,3,59020,8602
react_ac_444c36454ab1db69,AC,18,17,23,11,8,6,2,2,53232,6826
react_ac_f01d6ccd939588b3,AC,23,22,25,13,8,3,2,2,57877,7325
react_ac_58325e039949bb4a,AC,31,30,37,16,10,7,2,10,62641,10941
react_ac_f67640b95af8b41d,AC,17,16,24,13,9,4,4,5,55098,7513
react_ac_b958c3bfe1476051,AC,26,25,25,12,7,0,1,9,54379,6418
react_ac_7068d19188f9cd45,AC,17,16,16,9,4,0,1,7,49950,6867
react_ac_1f8b404ff50ecf1d,AC,13,12,14,8,3,2,2,4,49892,6893
react_ac_b316862da0955cb2,AC,16,15,18,9,5,3,2,9,52195,9031
react_ac_4a8559dba1cce4a1,AC,20,19,22,12,5,3,2,8,51890,6683
react_ac_febf3fcd6a5532cc,AC,25,24,27,12,7,3,2,12,58015,9849
react_ac_92879bad922f0b97,AC,25,24,29,9,4,5,2,10,63020,12606
react_ac_b589b5e010160175,AC,20,19,22,10,7,3,2,2,54526,6968
react_ac_9639875463a99dae,AC,15,14,14,7,3,0,1,0,48899,5056
react_e2e_58d688cf14a18f3e,E2E,12,11,21,11,7,2,6,8,54550,9876
react_e2e_9ff749d79820d2bb,E2E,29,28,30,10,5,1,3,7,67088,14428
react_e2e_d2639e36540858e6,E2E,12,11,16,9,4,3,3,6,54295,11232
react_e2e_7e2c24da6a4c2242,E2E,17,16,25,10,7,3,5,7,56056,11605
react_e2e_dc84dbfa86b0025a,E2E,50,49,50,7,1,1,2,2,114100,58566
react_e2e_d8eb3a3618403dc7,E2E,55,54,62,9,7,6,4,9,91413,30793
react_e2e_0119c9252947e567,E2E,35,34,42,15,9,6,4,10,83178,11067
react_e2e_97b0408e92cf20a1,E2E,19,18,25,11,6,6,3,8,53223,6092
react_e2e_110ab2531aee1188,E2E,15,14,21,8,5,6,3,8,55021,3577
react_e2e_f2838a12d16435bc,E2E,14,13,19,8,8,2,4,4,60833,6737
react_e2e_8840549ca89e2d7b,E2E,32,31,38,11,8,7,2,14,68258,9175
react_e2e_1cef6559052d0647,E2E,18,17,20,8,5,3,2,4,55731,11347
react_e2e_683791395c5b3d85,E2E,24,23,26,10,6,1,4,7,63677,12301
react_e2e_3fa5282b5bffde6e,E2E,33,32,35,7,3,2,3,4,96661,39083
react_e2e_feb901ea7c280420,E2E,44,43,49,16,10,5,3,21,72069,15733
react_e2e_1b2f7603848c14cc,E2E,12,11,11,6,3,0,1,2,53688,12409
react_e2e_0486aed54581b75f,E2E,25,24,26,10,5,2,2,9,62822,13077
react_e2e_2f77c234e831efff,E2E,28,27,29,12,7,2,2,8,76096,15747
react_pf_37d0df31bf2fba0a,PF,3,2,6,4,3,2,3,0,44957,2919
react_pf_e400eca7c779ddf5,PF,3,2,8,5,4,2,4,0,47185,3349
react_pf_3c21776514c755c4,PF,3,2,8,5,4,2,4,0,47073,3140
react_pf_f8c12340e0a74e5f,PF,5,4,12,7,6,2,5,0,50138,3825
react_pf_9afe718ae070c8dc,PF,3,2,8,5,4,2,4,0,51217,4731
react_pf_bbaeade860000337,PF,3,2,6,4,3,2,3,0,47579,4245
react_pf_811acea3391677c3,PF,6,5,16,7,6,3,5,7,56958,6242
react_pf_a00a125cae63b6f2,PF,3,2,8,5,4,2,4,0,48655,4790
react_pf_6cd946a4fff31dff,PF,3,2,6,4,3,2,3,0,46063,3707
react_pf_d3beb76fb1e99b65,PF,3,2,8,5,4,2,4,0,49245,3947
react_pf_48505b13cd37f104,PF,10,9,18,10,6,2,6,1,58502,9493
react_pf_bde8f89000090e6b,PF,3,2,8,5,4,2,4,4,48584,3762
react_pf_c1c024373f09c23a,PF,3,2,6,4,3,2,3,0,45552,3384
react_pf_d040166fc8978c0e,PF,8,7,14,8,5,2,5,0,54670,8395
react_pf_0d348671f5ff8485,PF,5,4,10,6,5,2,4,0,49406,4045
react_pf_02432e5b7f08c5cb,PF,6,5,12,7,4,3,4,0,51945,7480
react_pf_f301f8dbc3d43753,PF,6,5,14,8,6,3,5,6,51170,4920
react_pf_cabacdc7f2c124a7,PF,7,6,12,6,5,4,3,2,50387,5096
react_pf_66bef6613fee53a3,PF,8,7,14,6,5,3,4,4,51545,5372
react_pf_0a01a5a16be4e2d2,PF,7,6,12,7,4,2,4,0,55816,10764
react_pf_bbae209ef7dade6f,PF,5,4,8,5,4,2,3,0,48595,4301
react_pf_c44ce9c555ca1776,PF,4,3,9,6,4,2,4,0,48362,4545
react_pf_6707795b6a0af962,PF,10,9,15,9,5,2,4,0,54622,9117
react_pf_1c0ee8c78b632d1d,PF,3,2,10,6,5,2,5,0,54733,7769
react_pf_6a200297b46483ae,PF,3,2,10,6,5,2,5,0,52333,5064
react_pf_be5a9a093b1fdee4,PF,3,2,8,5,4,2,4,0,47594,3643
react_pf_d6a9bc45350f28bc,PF,5,4,13,8,6,2,6,5,55212,6364
react_pf_140989dc5722de30,PF,3,2,10,6,5,2,5,0,48791,4153
react_pf_dffad315fe73674a,PF,4,3,9,6,4,2,4,0,50713,5201
react_pf_c9712c1744bf6774,PF,8,7,16,9,6,2,6,0,56896,9141
react_pf_ef0ddd1f48b5e511,PF,3,2,8,5,4,2,4,0,49693,5242
react_pf_19e286c95883401e,PF,4,3,12,7,5,3,5,0,55233,9036
react_pf_1b38bf68a27aafd9,PF,3,2,8,5,4,2,4,0,48631,4089
react_pf_1d84f92bb2ca6ce2,PF,5,4,10,6,5,2,4,0,49819,4424
react_pf_bfac5b60f4f616dc,PF,5,4,10,6,5,4,3,5,52976,6981
react_pf_3fcb1a6ef768582a,PF,5,4,11,7,4,3,4,0,54417,8677
react_pf_dfc0f2e5d38bb980,PF,3,2,8,5,4,2,4,0,49347,4548
react_pf_0503e920c197d171,PF,7,6,12,7,4,3,4,0,51561,7644
react_pf_9e5b594880a64f9a,PF,3,2,8,5,4,2,4,0,47014,2920
react_pf_e8f3f70db4d31729,PF,8,7,16,9,5,3,5,0,54159,8133
react_pf_5cbd906a52e9a32a,PF,8,7,17,9,5,3,5,0,57888,10907
react_pf_968d3e88ed18967a,PF,10,9,16,9,5,2,5,0,56461,8430
react_pf_3c39512c4d515e1e,PF,6,5,11,6,5,2,4,1,50058,5518
react_pf_8807c9cf1ac31a20,PF,12,11,22,11,6,3,6,0,62840,14233
react_pf_3a491746814bfffb,PF,4,3,10,6,4,3,4,0,50933,7137
react_pf_375f52763a0ec8c6,PF,3,2,12,7,6,2,6,0,51959,4633
react_pf_beac1d330a13a5a7,PF,5,4,10,6,5,2,4,0,52767,5785
react_pf_306b6526c3475820,PF,3,2,10,6,5,2,5,5,53069,5848
react_pf_bfe082ab233cbdb5,PF,8,7,15,8,5,2,5,0,55007,9230
react_pf_295d7d0efb90de19,PF,3,2,6,4,3,2,3,0,46341,3475
react_pf_449fca12891ff8a1,PF,6,5,9,6,3,2,3,0,48709,6285
react_pf_cd072057a89d2d24,PF,11,10,17,9,5,2,5,0,57142,10853
react_pf_b95ec6c655bffab0,PF,10,9,19,10,6,2,6,2,60149,9803
react_pf_911d2f354db6e8bd,PF,3,2,10,6,5,2,5,0,53851,8686
react_pf_3947bc5615526315,PF,5,4,14,8,6,2,6,0,58172,10223
react_pf_713d6e2c18036c38,PF,5,4,14,8,6,3,6,0,59369,10716
react_pf_5afb35a228cb9526,PF,3,2,10,6,5,2,5,0,51797,5274
react_pf_ca6388c944f619db,PF,5,4,10,6,5,2,4,0,51262,4619
react_pf_25a1fd3e5c818f71,PF,3,2,8,5,4,2,4,0,52383,6961
react_pf_5db67d1aa7d2fca4,PF,4,3,14,8,6,3,6,0,57182,8741
react_pf_5be0d80a1d8442de,PF,9,8,14,7,5,3,3,3,49732,4731
react_pf_a9c7cea4cf843bda,PF,13,12,20,11,6,2,5,0,65893,16089
react_pf_9f3d2b56110fe332,PF,10,9,16,9,5,2,5,0,51647,6998
react_pf_0fe14755ae844d2e,PF,9,8,17,9,6,2,6,1,63011,14325
react_pf_0fea44c45e6c3588,PF,12,11,20,10,6,4,5,1,62556,12378
react_pf_6f6b8afe69a24488,PF,6,5,10,6,5,2,4,0,49369,4627
react_pf_0f9ba699b881bacf,PF,6,5,13,8,5,2,5,0,53754,9186
react_pf_b32e77bdc4116176,PF,10,9,21,8,6,3,5,1,57555,10116
react_pf_adde322ac2e1f457,PF,3,2,8,5,4,2,4,0,47502,3723
react_pf_e6c4aa51cba69894,PF,3,2,10,6,5,2,5,0,52225,5633
react_pf_e2f6f2aef6869cdf,PF,5,4,13,7,5,3,5,1,57465,12454
react_pf_636d1cbf3112d48a,PF,5,4,10,6,5,2,4,0,51380,4874
react_pf_8a91c78ca0840c36,PF,8,7,17,9,6,2,6,0,60712,12024
react_pf_ac08c040d28f6659,PF,4,3,12,8,5,3,5,0,55185,7293
react_pf_e58727691bba7ab2,PF,8,7,15,8,5,4,4,0,52069,7530
react_pf_b62ae8a905fd68c4,PF,4,3,11,7,5,2,5,0,52140,5035
react_pf_bf5a89781f61471d,PF,5,4,10,6,5,2,4,0,50026,4555
react_pf_ac7ec9736b4e32fe,PF,10,9,18,10,5,3,5,0,54895,8891
react_pf_276f4e68040868c7,PF,8,7,14,7,6,3,4,0,55914,10084
react_pf_81032fa244fdf268,PF,5,4,12,7,6,2,5,0,52205,4407
react_pf_b83776c74bfb6ac9,PF,4,3,9,6,4,2,4,0,50602,4303
react_pf_21c0db8ed089521e,PF,7,6,15,9,5,3,5,1,54879,8334
react_pf_cea7d3773f3f6bcb,PF,9,8,14,7,5,2,4,0,55221,9856
react_pf_bcc2fa435bceddd2,PF,7,6,16,9,6,2,6,0,57634,9207
react_pf_147704c8ec8706ae,PF,6,5,13,7,5,3,5,0,50616,5514
react_pf_4516871c5888c32c,PF,7,6,13,8,5,3,5,0,54586,8217
react_vs_46b3173477738799,VS,19,18,74,9,7,8,10,0,89214,33451
react_vs_facd8ee595a2244b,VS,20,19,77,10,7,10,10,0,105861,48641
react_vs_7e4b80ceaa748fec,VS,27,26,80,10,6,14,6,0,99311,42439
react_vs_5df2752de75c4843,VS,30,29,86,15,9,11,10,1,107810,45533
react_vs_2a76c996acd3f32b,VS,20,19,81,11,7,11,10,24,105149,41893
react_vs_0cd3ed13485bc362,VS,31,30,82,13,7,12,6,5,133265,77633
react_vs_e8fe725b4c552c3b,VS,28,27,81,11,8,18,5,3,93269,32874
react_vs_cf431c413d149204,VS,25,24,80,13,7,8,10,3,100764,43485
react_vs_36a2daee5148c14a,VS,30,29,82,13,8,13,6,1,97254,36252
react_vs_d485ee5898d5d6e7,VS,15,14,72,8,6,10,10,0,88489,33509
react_vs_4d6fba0bcf8afb0c,VS,17,16,74,9,6,10,11,1,115495,59901
react_vs_dba9250ca4de6268,VS,34,33,83,12,7,10,6,6,120139,60859
react_vs_24c7d79fa8fd3800,VS,16,15,73,8,6,10,10,0,88454,33858
react_vs_adcf8efa2dc9eabb,VS,39,38,92,13,7,18,5,10,96917,39092
react_vs_62e72f8550bcbf26,VS,21,20,75,9,7,8,10,0,91564,35241
react_vs_ee876fbcf2f47049,VS,27,26,78,10,6,17,5,3,88709,31254
react_vs_f7567429288235a0,VS,29,28,80,12,9,12,6,1,96077,37584
react_vs_f7dd32418fd805c8,VS,23,22,77,10,7,8,10,0,99843,43136
react_vs_1d48ccfc11123fe7,VS,21,20,76,10,7,8,10,0,95532,38639
react_vs_4d0dee697344d13d,VS,36,35,82,14,8,12,5,5,119435,62500
react_vs_0c9ded2eaea9e7af,VS,23,22,83,13,8,13,10,4,89526,30857
react_vs_e1810749102831f7,VS,26,25,81,12,7,8,10,1,120997,58481
react_vs_c88e29d9850234b2,VS,17,16,74,9,7,10,10,0,92650,35998
react_vs_6e8b10856b8118c5,VS,39,38,89,15,8,16,5,23,106423,43085
react_vs_f6f88a7937380537,VS,22,21,77,10,8,8,10,1,92596,34752
react_vs_24f2fbabe46add24,VS,21,20,75,10,6,8,10,0,92375,36202
react_vs_6cabf55817a81c13,VS,35,34,91,11,6,10,10,15,135468,70652
react_vs_1c236259ab8a3a2f,VS,48,47,93,16,9,12,5,2,100478,35856
react_vs_90e652a79c5615c0,VS,21,20,78,11,7,10,10,0,106383,49732
react_vs_f4c38a0c1c178b53,VS,24,23,77,10,7,14,6,1,92648,36395
react_vs_5905e18ee637e7f7,VS,27,26,86,17,10,13,10,1,127749,68445
react_vs_97f649a0a5be968d,VS,22,21,76,10,6,8,10,1,109951,50348
react_vs_0193b55ef04f5b36,VS,23,22,23,12,7,1,2,8,65358,14339
react_vs_9439e203dacd795e,VS,24,23,79,12,7,8,10,2,93531,36155
react_vs_6a1945286615111a,VS,24,23,75,9,6,12,6,1,90442,34717
react_vs_71d0399ef897848c,VS,28,27,75,10,6,14,5,16,102194,43572
react_vs_eacf18ddf0ca113d,VS,25,24,83,12,7,11,10,1,107736,46494
react_vs_d8e170d98c3d1d52,VS,24,23,78,12,8,8,10,3,83149,27608
react_vs_f41f61751ba94bf8,VS,30,29,83,14,8,6,10,2,101898,44828
react_vs_fceeb76f2312fc77,VS,22,21,78,11,7,10,10,1,133629,71856
react_vs_ff2d235b071e8158,VS,30,29,83,11,7,14,6,4,144561,79639
react_vs_327acc3e9edc55f9,VS,29,28,92,11,8,16,6,13,135465,72627
react_vs_0e270add70ba7d11,VS,18,17,75,9,7,10,10,0,119126,62802
react_vs_56fbf095fabebeed,VS,18,17,75,9,6,10,10,0,94708,39246
react_vs_5a435cf52577ab1a,VS,28,27,79,11,7,17,5,2,99445,42057
react_vs_7a4ee2acf343bb7a,VS,26,25,81,11,7,8,10,2,112377,50910
react_vs_05992ab76723abd8,VS,18,17,75,10,6,8,10,0,90841,35436
react_vs_2a614d79f97a74ec,VS,31,30,80,12,8,14,5,1,89821,33189
react_vs_2a76a56a70b6ac8f,VS,36,35,93,13,7,15,6,7,96987,35919
react_vs_f397ca3fbb142fee,VS,33,32,86,14,8,15,5,3,89425,27405
react_vs_c3922c3517c085fe,VS,21,20,79,12,7,11,10,0,94393,36703
react_vs_d5fd5a0f54763fbf,VS,19,18,76,9,7,10,10,0,91262,34713
react_vs_bc69d16ad4ccf490,VS,45,44,92,14,8,12,5,6,91350,31889
react_vs_67a11eee56be02fd,VS,27,26,83,14,8,9,10,0,110236,48383
react_vs_e2e32f54e3acc47c,VS,18,17,75,10,6,10,10,0,101103,45661
react_vs_2d8816241295e1a0,VS,24,23,77,12,8,8,10,10,92408,32721
react_vs_8b197d1f662c4ef1,VS,35,34,88,11,7,14,6,3,119434,62282
react_vs_7c2552e76efe3f2f,VS,21,20,81,10,6,13,10,2,89522,32995
react_vs_61292385c11278c9,VS,25,24,83,13,8,10,10,1,110488,51395
react_vs_8723e03447fc907b,VS,27,26,83,12,7,8,11,3,100013,41515
react_vs_a537f24b172256c2,VS,32,31,108,11,7,11,10,31,124891,55084
react_vs_74fb20e3e1a2d576,VS,31,30,83,13,7,12,7,7,96780,39123
react_vs_d85c3810fa4a74b3,VS,26,25,81,12,8,8,10,3,95577,31929
react_vs_a194b5f64c7a360f,VS,61,60,109,16,8,14,5,14,115286,49906
react_vs_8a404ea763d7194d,VS,31,30,83,13,8,14,6,3,103341,43480
react_vs_0baffda84f272880,VS,27,26,47,18,12,9,6,23,92496,31913
react_vs_460c0636762b1157,VS,55,54,70,19,14,5,6,31,105005,37245
